sev_numeric,cvss_score,cwe,cwe_tier,has_mitigation,verified,duplicate,false_positive,scanner_confidence,risk_accepted,risk_label,log_age,cvss_x_sev,is_old,no_fix,high_cwe
3,6.3,459,1,1,0,0,0,2,0,2,5.676753802268282,18.9,1,0,0
3,6.1,120,3,1,0,0,0,1,0,2,5.44673737166631,18.299999999999997,1,0,1
1,1.7,0,0,1,0,0,0,3,0,1,6.476972362889683,1.7,1,0,0
2,3.5,467,1,1,1,0,0,3,1,1,4.624972813284271,7.0,0,0,0
2,6.1,89,3,1,1,0,0,1,0,2,4.852030263919617,12.2,0,0,1
0,0.0,176,2,0,0,0,0,1,0,0,5.991464547107982,0.0,1,1,1
3,5.5,476,3,0,1,0,0,1,0,2,5.942799375126701,16.5,1,1,1
1,1.6,134,3,0,0,0,0,3,0,1,4.174387269895637,1.6,0,1,1
1,2.3,248,2,0,1,0,0,5,0,1,6.501289670540389,2.3,1,1,1
3,6.2,467,1,1,0,0,0,3,0,2,5.420534999272286,18.6,1,0,0
1,2.3,563,1,0,1,0,0,1,0,1,6.593044534142437,2.3,1,1,0
2,5.0,0,0,1,1,0,0,1,0,1,6.558197802812269,10.0,1,0,0
3,5.6,79,3,1,0,0,0,5,0,2,6.0063531596017325,16.799999999999997,1,0,1
1,2.2,327,3,1,0,0,0,5,0,1,4.5217885770490405,2.2,0,0,1
3,6.1,908,2,1,1,0,0,2,0,2,5.855071922202427,18.299999999999997,1,0,1
4,7.4,754,2,1,0,0,0,2,0,3,6.393590753950631,29.6,1,0,1
2,3.9,908,2,0,0,0,0,4,0,2,5.655991810819852,7.8,1,1,1
1,0.7,563,1,1,1,0,0,1,0,0,4.919980925828125,0.7,0,0,0
0,0.3,327,3,0,0,0,0,5,0,0,4.418840607796598,0.0,0,1,1
1,0.6,459,1,0,0,0,0,2,0,1,6.297109319933935,0.6,1,1,0
1,2.1,754,2,1,0,0,0,5,0,1,5.135798437050262,2.1,0,0,1
2,3.0,248,2,1,0,0,0,4,0,1,6.18826412308259,6.0,1,0,1
1,1.3,330,3,0,0,0,0,2,0,1,4.59511985013459,1.3,0,1,1
2,4.9,330,3,0,0,0,0,1,0,2,4.07753744390572,9.8,0,1,1
2,4.5,787,3,1,1,0,0,3,0,2,6.251903883165888,9.0,1,0,1
1,3.2,176,2,0,0,0,0,4,0,1,6.028278520230698,3.2,1,1,1
3,5.4,119,3,0,1,0,0,2,0,2,3.044522437723423,16.200000000000003,0,1,1
3,4.8,362,1,1,0,0,0,1,0,2,4.189654742026425,14.399999999999999,0,0,0
1,2.6,571,1,1,1,0,0,2,0,1,5.3230099791384085,2.6,1,0,0
1,1.6,674,2,1,1,0,0,2,0,1,5.337538079701318,1.6,1,0,1
4,7.3,362,1,0,0,0,0,4,0,2,5.6131281063880705,29.2,1,1,0
2,4.5,176,2,1,1,0,0,2,0,1,5.181783550292085,9.0,0,0,1
1,2.8,369,1,1,0,0,0,4,0,1,5.811140992976701,2.8,1,0,0
4,8.1,0,0,0,1,0,0,5,0,2,6.481577129276431,32.4,1,1,0
4,8.2,200,1,1,1,0,0,3,0,2,6.045005314036012,32.8,1,0,0
2,4.2,377,1,0,1,0,0,1,0,2,6.285998094508865,8.4,1,1,0
2,4.7,94,3,0,0,0,0,4,0,2,6.535241271013659,9.4,1,1,1
1,0.7,400,3,1,1,0,0,3,0,1,6.593044534142437,0.7,1,0,1
1,1.9,94,3,1,0,0,0,4,0,1,4.276666119016055,1.9,0,0,1
2,2.9,94,3,0,0,0,0,1,0,1,5.703782474656201,5.8,1,1,1
4,8.2,22,3,1,1,0,0,5,0,3,5.976350909297934,32.8,1,0,1
2,5.3,407,1,1,1,0,0,1,0,2,5.945420608606575,10.6,1,0,0
3,6.1,459,1,1,0,0,0,2,0,2,6.16541785423142,18.299999999999997,1,0,0
2,4.6,563,1,0,1,0,0,1,0,1,5.683579767338681,9.2,1,1,0
1,2.3,176,2,1,0,0,0,1,0,1,6.366470447731438,2.3,1,0,1
3,3.7,570,1,0,1,0,0,2,0,1,6.129050210060545,11.100000000000001,1,1,0
3,5.2,176,2,1,0,0,0,2,0,2,3.871201010907891,15.600000000000001,0,0,1
1,2.9,787,3,1,0,0,0,1,0,1,6.5638555265321274,2.9,1,0,1
2,4.8,327,3,0,1,0,0,3,0,2,6.255750041753367,9.6,1,1,1
2,4.3,563,1,0,0,0,0,1,0,2,4.6913478822291435,8.6,0,1,0
3,6.7,190,3,0,0,0,0,2,0,2,5.214935757608986,20.1,1,1,1
2,4.2,459,1,0,0,0,0,1,0,1,5.517452896464707,8.4,1,1,0
2,4.4,134,3,1,0,0,0,1,0,2,5.231108616854587,8.8,1,0,1
2,3.7,284,1,0,0,0,0,3,0,2,6.118097198041348,7.4,1,1,0
2,4.1,74,2,0,0,0,0,5,0,1,5.991464547107982,8.2,1,1,1
2,3.5,89,3,1,1,0,0,2,0,1,5.043425116919247,7.0,0,0,1
3,7.0,94,3,0,1,0,0,4,0,2,6.2324480165505225,21.0,1,1,1
2,5.2,327,3,1,1,0,0,1,0,2,5.3471075307174685,10.4,1,0,1
1,3.1,415,1,1,0,0,0,4,0,1,4.762173934797756,3.1,0,0,0
1,1.7,377,1,0,1,0,0,4,0,1,6.54965074223381,1.7,1,1,0
3,5.2,134,3,1,0,0,0,3,0,2,5.438079308923196,15.600000000000001,1,0,1
3,7.0,176,2,0,0,0,0,2,0,2,5.135798437050262,21.0,0,1,1
1,2.4,89,3,0,1,0,0,3,0,1,6.259581464064923,2.4,1,1,1
0,0.3,377,1,0,0,0,0,4,1,0,6.324358962381311,0.0,1,1,0
2,3.5,456,1,1,0,0,0,4,0,1,4.709530201312334,7.0,0,0,0
1,2.3,563,1,1,1,0,0,1,0,0,3.713572066704308,2.3,0,0,0
3,5.1,561,1,1,0,0,0,2,0,2,6.431331081933479,15.299999999999999,1,0,0
4,9.3,563,1,1,1,0,0,5,0,2,5.726847747587197,37.2,1,0,0
1,2.6,119,3,1,0,0,0,4,0,1,6.059123195581797,2.6,1,0,1
1,0.9,79,3,0,1,0,0,1,0,1,6.198478716492308,0.9,1,1,1
1,2.2,330,3,0,0,0,0,2,0,1,4.07753744390572,2.2,0,1,1
1,3.7,415,1,0,1,0,0,2,0,1,5.267858159063328,3.7,1,1,0
0,0.0,369,1,0,1,0,0,2,0,0,6.546785410760524,0.0,1,1,0
0,0.0,0,0,1,0,0,0,3,0,0,4.804021044733257,0.0,0,0,0
1,3.1,476,3,1,1,0,0,1,0,1,6.4967749901858625,3.1,1,0,1
2,6.0,476,3,1,0,0,0,3,0,2,4.9344739331306915,12.0,0,0,1
2,3.4,415,1,0,1,0,0,1,0,2,6.075346031088684,6.8,1,1,0
2,3.2,134,3,1,1,0,0,5,0,2,6.184148890937483,6.4,1,0,1
3,5.8,415,1,1,0,0,0,3,0,2,3.8501476017100584,17.4,0,0,0
3,5.9,459,1,0,1,0,0,2,0,2,4.499809670330265,17.700000000000003,0,1,0
0,0.8,176,2,1,0,0,0,2,0,0,6.118097198041348,0.0,1,0,1
1,2.5,407,1,1,1,0,0,3,0,0,6.045005314036012,2.5,1,0,0
1,2.4,476,3,1,1,0,0,1,0,1,6.236369590203704,2.4,1,0,1
2,5.0,459,1,1,1,0,0,4,0,1,6.520621127558696,10.0,1,0,0
2,7.2,754,2,1,0,0,0,3,0,2,5.91350300563827,14.4,1,0,1
0,0.6,190,3,1,1,0,0,5,0,1,5.902633333401366,0.0,1,0,1
1,1.5,200,1,1,0,0,0,4,0,0,3.5553480614894135,1.5,0,0,0
3,5.8,0,0,0,0,0,0,4,0,2,5.91350300563827,17.4,1,1,0
0,0.0,248,2,0,0,0,0,4,0,1,6.51025834052315,0.0,1,1,1
0,1.4,176,2,1,1,0,0,4,0,0,6.570882962339584,0.0,1,0,1
3,7.0,78,3,0,1,0,0,5,0,2,6.304448802421981,21.0,1,1,1
3,5.9,754,2,0,0,0,0,4,0,2,4.736198448394496,17.700000000000003,0,1,1
4,7.0,362,1,1,0,0,0,4,0,2,6.148468295917647,28.0,1,0,0
3,6.0,287,3,0,0,0,0,5,0,2,5.501258210544727,18.0,1,1,1
2,2.6,377,1,0,0,0,0,5,0,1,6.118097198041348,5.2,1,1,0
1,2.8,0,0,0,1,0,0,4,0,0,6.481577129276431,2.8,1,1,0
2,2.1,287,3,1,1,0,0,4,0,1,5.720311776607412,4.2,1,0,1
2,3.3,467,1,0,1,0,0,3,0,1,4.762173934797756,6.6,0,1,0
3,5.9,120,3,1,1,0,0,3,0,2,6.447305862541213,17.700000000000003,1,0,1
2,4.6,94,3,0,0,0,0,5,0,2,5.497168225293202,9.2,1,1,1
2,3.6,377,1,1,1,0,0,5,0,1,6.318968113746434,7.2,1,0,0
2,3.3,74,2,0,1,0,0,5,0,2,6.368187186350492,6.6,1,1,1
1,1.6,327,3,0,0,0,0,2,0,1,5.703782474656201,1.6,1,1,1
2,4.4,134,3,0,1,0,0,1,0,2,4.127134385045092,8.8,0,1,1
2,3.1,754,2,0,1,0,0,5,1,2,6.091309882077698,6.2,1,1,1
1,0.9,94,3,0,1,0,0,4,0,1,6.364750756851911,0.9,1,1,1
2,4.6,327,3,1,1,0,0,5,0,2,6.013715156042802,9.2,1,0,1
2,4.2,120,3,1,1,0,0,4,0,2,5.4680601411351315,8.4,1,0,1
1,2.7,330,3,0,0,0,0,2,0,1,6.566672429803241,2.7,1,1,1
2,3.6,415,1,1,0,0,0,2,0,1,4.143134726391533,7.2,0,0,0
1,3.1,200,1,0,0,0,0,4,0,1,5.5909869805108565,3.1,1,1,0
4,6.8,908,2,0,0,0,0,3,0,2,6.541029999189903,27.2,1,1,1
3,7.0,674,2,0,0,0,0,5,0,2,6.481577129276431,21.0,1,1,1
2,5.1,176,2,0,0,0,0,4,0,2,6.021023349349527,10.2,1,1,1
1,2.7,362,1,0,1,0,0,2,1,1,6.54534966033442,2.7,1,1,0
3,5.3,119,3,0,0,0,0,3,0,2,6.061456918928017,15.899999999999999,1,1,1
2,3.8,459,1,1,0,0,0,2,0,1,4.465908118654584,7.6,0,0,0
3,5.0,79,3,1,0,0,0,2,0,2,6.48768401848461,15.0,1,0,1
2,3.2,176,2,0,1,0,0,4,0,1,6.150602768446279,6.4,1,1,1
2,4.5,248,2,1,0,0,0,1,0,1,4.6443908991413725,9.0,0,0,1
1,2.5,79,3,0,1,0,0,4,0,1,6.354370040797351,2.5,1,1,1
2,4.4,78,3,1,0,0,0,4,0,1,5.2574953720277815,8.8,1,0,1
3,7.2,908,2,0,1,0,0,3,0,2,2.0794415416798357,21.6,0,1,1
1,2.5,119,3,1,1,0,0,1,0,1,5.805134968916488,2.5,1,0,1
2,4.8,456,1,1,0,0,0,3,0,1,5.802118375377063,9.6,1,0,0
3,6.8,327,3,1,0,0,0,2,0,2,4.442651256490317,20.4,0,0,1
0,0.0,120,3,1,1,0,0,5,0,1,6.502790045915623,0.0,1,0,1
4,7.9,20,2,1,1,0,0,1,0,2,4.718498871295094,31.6,0,0,1
1,2.0,561,1,0,0,0,0,5,0,0,6.52649485957079,2.0,1,1,0
4,7.8,787,3,1,0,0,0,2,0,3,6.246106765481563,31.2,1,0,1
3,6.4,94,3,0,0,0,0,4,0,2,5.572154032177765,19.200000000000003,1,1,1
2,4.5,0,0,1,1,0,0,2,0,1,6.54965074223381,9.0,1,0,0
3,6.3,248,2,0,1,0,0,4,0,2,5.572154032177765,18.9,1,1,1
4,7.4,563,1,1,1,0,0,3,0,2,2.4849066497880004,29.6,0,0,0
1,2.9,570,1,1,0,0,0,5,0,1,4.31748811353631,2.9,0,0,0
2,4.3,248,2,1,0,0,0,5,0,1,5.552959584921617,8.6,1,0,1
0,0.0,330,3,1,0,0,0,1,0,1,5.187385805840755,0.0,0,0,1
2,3.8,176,2,0,1,0,0,5,0,2,5.117993812416755,7.6,0,1,1
1,0.6,190,3,0,0,0,0,4,0,1,5.6240175061873385,0.6,1,1,1
2,4.0,176,2,0,1,0,0,3,0,1,6.09807428216624,8.0,1,1,1
2,3.8,190,3,1,0,0,0,1,0,2,4.5217885770490405,7.6,0,0,1
2,5.3,415,1,0,0,0,0,2,0,2,6.429719478039138,10.6,1,1,0
3,5.1,571,1,0,0,0,0,1,0,2,6.415096959171596,15.299999999999999,1,1,0
3,6.6,467,1,0,0,0,0,1,0,2,4.955827057601261,19.799999999999997,0,1,0
2,5.7,89,3,1,1,0,0,1,0,2,6.466144724237619,11.4,1,0,1
2,4.9,134,3,1,1,0,0,2,1,2,4.553876891600541,9.8,0,0,1
4,8.0,674,2,0,1,0,0,1,0,2,4.3694478524670215,32.0,0,1,1
0,0.0,407,1,0,0,0,0,3,0,0,4.532599493153256,0.0,0,1,0
2,3.5,476,3,0,0,0,0,4,0,2,5.717027701406222,7.0,1,1,1
2,3.4,79,3,0,0,0,0,1,0,2,5.703782474656201,6.8,1,1,1
3,5.7,248,2,1,1,0,0,2,0,2,6.269096283706261,17.1,1,0,1
2,3.9,0,0,1,0,0,0,1,0,1,5.932245187448011,7.8,1,0,0
3,5.0,119,3,1,0,0,0,5,0,2,4.07753744390572,15.0,0,0,1
1,1.9,563,1,1,0,0,0,3,0,1,6.0063531596017325,1.9,1,0,0
1,3.5,284,1,1,0,0,0,5,0,1,5.860786223465865,3.5,1,0,0
1,2.2,377,1,1,0,0,0,3,0,1,5.19295685089021,2.2,0,0,0
4,8.3,119,3,1,0,0,0,3,0,3,5.351858133476067,33.2,1,0,1
2,4.4,563,1,1,0,0,0,3,0,1,5.075173815233827,8.8,0,0,0
2,3.9,330,3,0,0,0,0,1,0,2,6.0014148779611505,7.8,1,1,1
3,5.0,78,3,0,0,0,0,3,0,2,5.564520407322694,15.0,1,1,1
2,5.4,89,3,1,1,0,0,3,0,2,6.481577129276431,10.8,1,0,1
4,7.1,74,2,0,1,0,0,4,1,3,6.1779441140506,28.4,1,1,1
3,6.5,78,3,0,1,0,0,3,0,2,5.60947179518496,19.5,1,1,1
2,4.2,415,1,1,0,0,0,5,0,1,3.258096538021482,8.4,0,0,0
2,4.5,561,1,1,1,0,0,4,1,1,5.517452896464707,9.0,1,0,0
3,6.4,456,1,0,0,0,0,5,0,2,5.081404364984463,19.200000000000003,0,1,0
4,7.6,0,0,1,0,0,0,3,0,2,5.332718793265369,30.4,1,0,0
1,2.9,78,3,1,0,0,0,4,0,1,6.1675164908883415,2.9,1,0,1
2,4.1,0,0,1,0,0,0,4,0,1,4.77912349311153,8.2,0,0,0
2,3.2,248,2,1,0,0,0,1,0,1,6.507277712385012,6.4,1,0,1
2,4.0,561,1,0,0,0,0,4,0,1,6.580639137284949,8.0,1,1,0
0,0.3,377,1,0,1,0,0,4,0,0,5.384495062789089,0.0,1,1,0
2,2.6,327,3,1,1,0,0,2,0,1,5.808142489980444,5.2,1,0,1
3,6.4,190,3,1,1,0,0,2,0,2,5.393627546352362,19.200000000000003,1,0,1
1,1.3,248,2,1,1,0,0,3,0,1,5.966146739123692,1.3,1,0,1
2,5.0,476,3,0,0,0,0,3,0,2,5.998936561946683,10.0,1,1,1
2,3.7,400,3,0,1,0,0,3,1,2,5.231108616854587,7.4,1,1,1
3,6.1,467,1,1,0,0,0,5,1,1,1.791759469228055,18.299999999999997,0,0,0
1,3.0,400,3,1,1,0,0,3,0,1,6.3080984415095305,3.0,1,0,1
4,8.0,190,3,1,1,0,0,4,0,3,3.6635616461296463,32.0,0,0,1
3,5.9,94,3,0,0,0,0,1,0,2,6.270988431858299,17.700000000000003,1,1,1
3,5.2,284,1,1,0,0,0,4,0,2,6.565264970035361,15.600000000000001,1,0,0
1,1.0,94,3,1,1,0,0,4,0,1,6.3784261836515865,1.0,1,0,1
4,8.3,571,1,0,1,0,0,1,0,2,2.772588722239781,33.2,0,1,0
2,3.1,327,3,1,0,0,0,4,0,1,4.0943445622221,6.2,0,0,1
3,6.4,476,3,0,0,0,0,3,0,2,6.253828811575473,19.200000000000003,1,1,1
